zone,object,component,index,concentration
3,0,0,17,5.338943802365346
3,0,0,18,5.340226752347659
3,0,0,19,5.341508557917903
3,0,1,0,1.1361450442364336
3,0,1,1,1.1362036930979615
3,0,1,2,1.1362626261565834
3,0,1,3,1.1363218446331023
3,0,1,4,1.136381349752564
3,0,1,5,1.136441142744288
3,0,1,6,1.136501224841875
3,0,1,7,1.136561597283219
3,0,1,8,1.1366222613105135
3,0,1,9,1.13668321817026
3,0,1,10,1.1367444691132782
3,0,1,11,1.136806015394713
3,0,1,12,1.1368678582740457
3,0,1,13,1.136929999015099
3,0,1,14,1.1369924388860486
3,0,1,15,1.1370551791594308
3,0,1,16,1.1371182211121487
3,0,1,17,1.137181566025486
3,0,1,18,1.1372452151851107
3,0,1,19,1.1373091698810844
3,1,0,0,5.40834691045412
3,1,0,1,5.444379852074066
3,1,0,2,5.4791125577537345
3,1,0,3,5.512536934137448
3,1,0,4,5.544647524609644
3,1,0,5,5.575441442969371
3,1,0,6,5.604918290391321
3,1,0,7,5.633080056497488
3,1,0,8,5.659931005542073
3,1,0,9,5.685477548876005
3,1,0,10,5.709728104998663
3,1,0,11,5.732692948622568
3,1,0,12,5.7543840502696595
3,1,0,13,5.774814907983246
3,1,0,14,5.7940003727789975
3,1,0,15,5.811956469468961
3,1,0,16,5.828700214476974
3,1,0,17,5.844249432221734
3,1,0,18,5.858622571577242
3,1,0,19,5.871838523831008
3,1,0,20,5.8839164434506666
3,1,0,21,5.894875572842342
3,1,0,22,5.904735072141439
3,1,0,23,5.913513854922679
3,1,0,24,5.921230430553347
3,1,0,25,5.927902753745479
3,1,0,26,5.933548081693026
3,1,0,27,5.938182839010804
3,1,0,28,5.94182249052813
3,1,0,29,5.944481421832826
3,1,0,30,5.9461728273150865
3,1,0,31,5.946908605327413
3,1,0,32,5.946699259959484
3,1,0,33,5.945553808827335
3,1,0,34,5.943479696197595
3,1,0,35,5.940482710710737
3,1,0,36,5.936566906934875
3,1,0,37,5.931734529974785
3,1,0,38,5.92598594238101
3,1,0,39,5.9193195526520705
3,1,0,40,5.9117317446996775
3,1,0,41,5.9032168077534655
3,1,0,42,5.893766866317163
3,1,0,43,5.88337180995339
3,1,0,44,5.8720192228674595
3,1,0,45,5.859694313481596
3,1,0,46,5.846379844436631
3,1,0,47,5.8320560637277445
3,1,0,48,5.816700637969538
3,1,0,49,5.80028858909045
3,1,0,50,5.7827922360722415
3,1,0,51,5.764181143671756
3,1,0,52,5.744422080382095
3,1,0,53,5.723478988202181
3,1,0,54,5.701312967079155
3,1,0,55,5.6778822771573845
3,1,0,56,5.653142362203402
3,1,0,57,5.627045897765587
3,1,0,58,5.5995428677625805
3,1,0,59,5.570580673264225
3,1,0,60,5.540104277222969
3,1,0,61,5.508056388823332
3,1,0,62,5.474377690933797
3,1,0,63,5.439007113860863
3,1,0,64,5.401882158215353
3,1,0,65,5.362939269201007
3,1,0,66,5.322114264024754
3,1,0,67,5.279342813408784
3,1,0,68,5.234560977361334
3,1,0,69,5.187705794445365
3,1,0,70,5.138715922787041
3,1,0,71,5.087532330008472
3,1,0,72,5.0340990281823395
3,1,0,73,4.978363848831375
3,1,0,74,4.920279251996246
3,1,0,75,4.859803162569201
3,1,0,76,4.796899826591183
3,1,0,77,4.731540680295404
3,1,0,78,4.663705225780731
3,1,0,79,4.593381910060341
3,1,0,80,4.520569010143431
3,1,0,81,4.4452755380242985
3,1,0,82,4.367522199911348
3,1,0,83,4.2873424806174
3,1,0,84,4.20478398879266
